0000000651,scans,0000000134,DataLength
"header",0000000027,"lines"
"Date",21/01/2022,"Time",01:02:33
"ID","HAL RC RGA 201 #15189","Version",3
"Scans",8
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,0.440000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 3","RGA","Faraday","mass",14.00,14.00,0.01,100.000%,100.000%,0.072000,1.000000,
"Scan 4","RGA","SEM","mass",15.00,15.00,0.01,100.000%,100.000%,1.373000,1.000000,
"Scan 5","RGA","Faraday","mass",17.00,17.00,0.01,100.000%,100.000%,0.207000,1.000000,
"Scan 6","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.050000,1.000000,
"Scan 7","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 8","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",870,"V"
"resolution",0,"%"
"Data",8
00:19:50,   1190876,  1.46988e-05,  2.73380e-08,  1.34375e-06,  5.61067e-10,  1.39246e-07,  1.71743e-06,  3.85373e-07,  3.86301e-09,
00:20:47,   1247621,  1.47186e-05,  2.66944e-08,  1.34375e-06,  5.63802e-10,  1.39178e-07,  1.71359e-06,  3.87374e-07,  3.82732e-09,
00:21:44,   1304366,  1.46942e-05,  2.69476e-08,  1.34823e-06,  5.64243e-10,  1.39371e-07,  1.71615e-06,  3.86624e-07,  3.93664e-09,
00:22:41,   1361111,  1.46927e-05,  2.72232e-08,  1.34225e-06,  5.65774e-10,  1.39828e-07,  1.71936e-06,  3.87749e-07,  4.52504e-09,
00:23:37,   1417857,  1.46820e-05,  2.76261e-08,  1.34673e-06,  5.65951e-10,  1.39729e-07,  1.71040e-06,  3.86999e-07,  4.72704e-09,
00:24:34,   1474601,  1.46927e-05,  2.71494e-08,  1.34673e-06,  5.65554e-10,  1.40118e-07,  1.71488e-06,  3.86624e-07,  4.94002e-09,
00:25:31,   1531346,  1.47629e-05,  2.58776e-08,  1.34673e-06,  5.71396e-10,  1.41869e-07,  1.71550e-06,  3.86499e-07,  4.85383e-09,
00:26:28,   1588091,  1.47843e-05,  2.73339e-08,  1.34823e-06,  5.64175e-10,  1.49399e-07,  1.72190e-06,  3.86624e-07,  4.74357e-09,
00:27:24,   1644815,  1.48469e-05,  2.71410e-08,  1.34823e-06,  5.64747e-10,  1.51123e-07,  1.71615e-06,  3.86999e-07,  4.84853e-09,
00:28:21,   1701561,  1.48530e-05,  2.74262e-08,  1.34673e-06,  5.76912e-10,  1.50473e-07,  1.72319e-06,  3.85249e-07,  4.76376e-09,
