,file_name,rw,Al2O3_Al1_Biso,Al2O3_Al2_Biso,Al2O3_Al3_Biso,Al2O3_O1_Biso,Al2O3_a,Al2O3_c,Al2O3_delta2,Al2O3_psize,Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_O1_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale
504,azint_UC1_Al2O3_2_0007_scan0028_pilatus_rm_NiO,0.31249651,0.549815027,3.39202399,1.25869468,1.75907877,5.65177469,7.85015492,2.70671551,60.7105278,0.321920122,,,,,,,1.20487842,,3.5545551,3.57807142,49.9489091,0.176342999
505,azint_UC1_Al2O3_2_0007_scan0029_pilatus_rm_NiO,0.31223934,0.554919311,3.4272376,1.23578543,1.82013469,5.65244699,7.84966485,2.66777682,60.6273616,0.324840738,,,,,,,1.19695532,,3.55470631,3.57605615,50.0050798,0.175011885
506,azint_UC1_Al2O3_2_0007_scan0030_pilatus_rm_NiO,0.31277752,0.541775911,3.62686173,1.29816904,1.7361179,5.65228823,7.84988052,2.6765984,60.6621018,0.323559597,,,,,,,1.19604878,,3.55472279,3.60746016,49.8508583,0.175471601
507,azint_UC1_Al2O3_2_0007_scan0031_pilatus_rm_NiO,0.31147609,0.5332582,3.36274352,1.29244683,1.75987009,5.65215445,7.84950658,2.69869787,60.8000177,0.321942017,,,,,,,1.20347849,,3.55458782,3.5920321,50.1481897,0.17589028
508,azint_UC1_Al2O3_2_0007_scan0032_pilatus_rm_NiO,0.31479978,0.555478424,3.91065098,1.32181184,1.64642257,5.65181336,7.85023631,2.65028409,60.3874035,0.324183948,,,,,,,1.20416498,,3.55469251,3.59263922,49.9256671,0.176482876
509,azint_UC1_Al2O3_2_0007_scan0033_pilatus_rm_NiO,0.31165018,0.543717091,3.50894481,1.28857357,1.76159624,5.65172523,7.85045597,2.64023463,60.2109896,0.32575777,,,,,,,1.1967526,,3.55464165,3.54829282,50.1141561,0.17496085
510,azint_UC1_Al2O3_2_0007_scan0034_pilatus_rm_NiO,0.31147714,0.546320882,3.51103708,1.30288623,1.75093185,5.651991,7.85007886,2.65737339,60.5779167,0.324980316,,,,,,,1.2048476,,3.5548156,3.56981354,50.1138782,0.17569506
511,azint_UC1_Al2O3_2_0007_scan0035_pilatus_rm_NiO,0.30948499,0.535537438,3.5195922,1.32271215,1.73735001,5.65162164,7.84975422,2.58835657,59.9079993,0.326988652,,,,,,,1.19446017,,3.55477001,3.63402305,50.2486753,0.174467099
512,azint_UC1_Al2O3_2_0007_scan0036_pilatus_rm_NiO,0.31461212,0.538918328,3.48195062,1.29248889,1.74951721,5.65249312,7.84938687,2.71464113,61.2108685,0.321433985,,,,,,,1.20544369,,3.55474543,3.63540516,49.8153481,0.176568482
513,azint_UC1_Al2O3_2_0007_scan0037_pilatus_rm_NiO,0.31113838,0.52651432,3.57675295,1.3583757,1.70994285,5.65284494,7.84855838,2.6534903,60.7924939,0.325103843,,,,,,,1.20171122,,3.55484047,3.65246063,50.2008154,0.175152484
